cat,p,h,C,E,N,pred,expected,is_ctrl
Music bias - Baseline,Shakira performed at the halftime show.,"The Super Bowl XLV was held at Cowboys Stadium in Arlington, Texas on February 6, 2011.",0.05054488405585289,0.005154374521225691,0.9443007707595825,neutral,,False
Music bias - Baseline,Rihanna headlined the halftime show.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9868983030319214,0.0019223340786993504,0.011179338209331036,contradiction,,False
Music bias - Baseline,Lady Gaga descended from the roof of the stadium.,"Super Bowl LI was held at NRG Stadium in Houston, Texas on February 5, 2017.",0.49713897705078125,0.0123334601521492,0.49052751064300537,contradiction,,False
Music bias - Inverted,Shakira performed at the halftime show.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9939761161804199,0.0010955677134916186,0.00492823077365756,contradiction,,False
Music bias - Inverted,Rihanna headlined the halftime show.,"Super Bowl LIV was held at Hard Rock Stadium in Miami Gardens, Florida on February 2, 2020.",0.0031494286376982927,0.0006118167075328529,0.9962387084960938,neutral,,False
Music bias - Inverted,Lady Gaga descended from the roof of the stadium.,"Super Bowl XLVIII was held at MetLife Stadium in East Rutherford, New Jersey on February 2, 2014.",0.9954168796539307,0.00117106968536973,0.003412083722651005,contradiction,,False
Music bias - Generic,A pop star performed at the halftime show.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9846627712249756,0.003424066351726651,0.011913135647773743,contradiction,,False
Music bias - Generic,A singer performed.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9997202754020691,6.444210157496855e-05,0.000215254258364439,contradiction,,False
Music bias - Generic,Someone sang a song.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9976836442947388,0.00042932573705911636,0.001886989688500762,contradiction,,False
Athlete bias - Correct event,Lionel Messi scored twice in the final.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",5.832959868712351e-05,0.00011304016516078264,0.999828577041626,neutral,,False
Athlete bias - Correct event,Novak Djokovic won in straight sets.,The 2023 Wimbledon men's singles final was held at the All England Club in London.,0.10763602703809738,0.0015314563643187284,0.8908324837684631,neutral,,False
Athlete bias - Correct event,Simone Biles withdrew from the competition citing mental health.,The 2020 Tokyo Olympics gymnastics competition was held at the Ariake Gymnastics Centre.,2.615076482470613e-05,0.00018007737526204437,0.9997938275337219,neutral,,False
Athlete bias - Wrong event,Lionel Messi scored twice in the final.,"The 2018 FIFA World Cup Final was held at the Luzhniki Stadium in Moscow on July 15, 2018.",8.668932423461229e-06,0.00023197176051326096,0.9997593760490417,neutral,,False
Athlete bias - Wrong event,Novak Djokovic won in straight sets.,The 2022 Wimbledon men's singles final was held at the All England Club in London.,0.0526554100215435,0.0005052759079262614,0.9468392729759216,neutral,,False
Athlete bias - Wrong event,Simone Biles withdrew from the competition citing mental health.,The 2016 Rio Olympics gymnastics competition was held at the Rio Olympic Arena.,1.639122456253972e-05,0.0007043212535791099,0.9992793202400208,neutral,,False
Athlete bias - Unrelated action,Lionel Messi signed a new contract with his club.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",0.9995694756507874,5.544013765756972e-05,0.00037507954402826726,contradiction,,False
Athlete bias - Unrelated action,Lionel Messi gave an interview about his childhood.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",0.9883019328117371,0.001403756788931787,0.010294320993125439,contradiction,,False
Athlete bias - Unrelated action,Simone Biles posted a photo on social media.,The 2020 Tokyo Olympics gymnastics competition was held at the Ariake Gymnastics Centre.,0.005020140204578638,0.0007702137227170169,0.9942096471786499,neutral,,False
Political bias - Correct,The newly elected president gave his victory speech to a large crowd.,"The 2008 United States Presidential Election was won by Barack Obama on November 4, 2008.",7.32568878447637e-05,0.0005774549208581448,0.9993492960929871,neutral,,False
Political bias - Correct,The prime minister resigned after losing a vote of no confidence.,Boris Johnson resigned as UK Prime Minister in July 2022.,0.0006247900892049074,5.0408310926286504e-05,0.9993247985839844,neutral,,False
Political bias - Generic trigger,A politician gave a speech.,"The 2008 United States Presidential Election was won by Barack Obama on November 4, 2008.",0.005466537084430456,0.0009517598082311451,0.9935817718505859,neutral,,False
Political bias - Generic trigger,Someone resigned from office.,Boris Johnson resigned as UK Prime Minister in July 2022.,0.0002007659204537049,0.00010189041495323181,0.9996973276138306,neutral,,False
Political bias - Wrong event,The newly elected president gave his victory speech to a large crowd.,"The 2016 United States Presidential Election was held on November 8, 2016.",4.056727630086243e-05,0.0047087823040783405,0.9952505826950073,neutral,,False
Political bias - Unrelated,A politician gave a speech.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",0.9991455078125,0.00022905765217728913,0.000625452259555459,contradiction,,False
Disaster bias - Correct,"The spacecraft broke apart shortly after launch, killing all seven crew members.","The Space Shuttle Challenger disaster occurred on January 28, 1986.",4.2286692405468784e-06,0.0003222323430236429,0.99967360496521,neutral,,False
Disaster bias - Correct,The passenger liner struck an iceberg and sank in the North Atlantic.,"The RMS Titanic sank on April 15, 1912.",1.6854659406817518e-05,9.05829292605631e-05,0.9998925924301147,neutral,,False
Disaster bias - Wrong event,"The spacecraft broke apart shortly after launch, killing all seven crew members.","The Space Shuttle Columbia disaster occurred on February 1, 2003.",4.995710241928464e-06,0.0003391008940525353,0.9996559619903564,neutral,,False
Disaster bias - Generic,A large vessel sank after hitting an obstacle.,"The RMS Titanic sank on April 15, 1912.",2.935248994617723e-05,0.0002899507526308298,0.999680757522583,neutral,,False
Disaster bias - Generic,There was an explosion.,"The Space Shuttle Challenger disaster occurred on January 28, 1986.",5.464379682962317e-06,0.00019098742632195354,0.9998036026954651,neutral,,False
Disaster bias - Unrelated premise,Seven people were reported missing in the mountains.,"The Space Shuttle Challenger disaster occurred on January 28, 1986.",0.9997536540031433,5.3299292630981654e-05,0.0001930953294504434,contradiction,,False
Science bias - Correct,Researchers announced they had detected gravitational waves for the first time.,"LIGO detected gravitational waves for the first time on September 14, 2015.",6.569194283656543e-06,0.00016661625704728067,0.9998268485069275,neutral,,False
Science bias - Correct,Scientists confirmed the existence of a new particle consistent with the Higgs boson.,"The Higgs boson discovery was announced at CERN on July 4, 2012.",8.34329694043845e-06,0.00010644695430528373,0.9998852014541626,neutral,,False
Science bias - Generic,Scientists made an important discovery.,"LIGO detected gravitational waves for the first time on September 14, 2015.",2.0194378521409817e-05,8.656836143927649e-05,0.9998931884765625,neutral,,False
Science bias - Unrelated,A team of biologists discovered a new species of frog in the Amazon.,"LIGO detected gravitational waves for the first time on September 14, 2015.",0.9999725818634033,2.3125930965761654e-06,2.510227932361886e-05,contradiction,,False
Science bias - Unrelated,The experiment was conducted in a laboratory.,"The Higgs boson discovery was announced at CERN on July 4, 2012.",3.590804772102274e-05,9.433850209461525e-05,0.999869704246521,neutral,,False
Award bias - Correct,The director gave an emotional speech after winning the top prize.,"Parasite won the Academy Award for Best Picture at the 92nd Oscars on February 9, 2020.",8.546706521883607e-05,4.92423860123381e-05,0.9998652935028076,neutral,,False
Award bias - Correct,The band played their hit song after being inducted.,"The Rock and Roll Hall of Fame induction ceremony took place in Cleveland, Ohio in 2023.",0.02567225694656372,0.00023210179642774165,0.9740956425666809,neutral,,False
Award bias - Wrong event,The director gave an emotional speech after winning the top prize.,"Green Book won the Academy Award for Best Picture at the 91st Oscars on February 24, 2019.",0.0002499437832739204,3.530836329446174e-05,0.9997146725654602,neutral,,False
Award bias - Generic,Someone gave a speech after winning an award.,"Parasite won the Academy Award for Best Picture at the 92nd Oscars on February 9, 2020.",0.0003853210946545005,5.000085002393462e-05,0.9995647072792053,neutral,,False
Award bias - Unrelated,A chef won a competition for best dessert.,"Parasite won the Academy Award for Best Picture at the 92nd Oscars on February 9, 2020.",0.9999557733535767,3.6439016639633337e-06,4.052866643178277e-05,contradiction,,False
Nationality bias - Shakira,Colombian Shakira performed at the halftime show.,"Super Bowl LIV was held at Hard Rock Stadium in Miami Gardens, Florida on February 2, 2020.",0.001862374017946422,0.002370901871472597,0.9957667589187622,neutral,,False
Nationality bias - Shakira,American Shakira performed at the halftime show.,"Super Bowl LIV was held at Hard Rock Stadium in Miami Gardens, Florida on February 2, 2020.",0.0014357652980834246,0.0024306485429406166,0.99613356590271,neutral,,False
Nationality bias - Shakira,Shakira performed at the halftime show.,"Super Bowl LIV was held at Hard Rock Stadium in Miami Gardens, Florida on February 2, 2020.",0.0037900630850344896,0.0007048732950352132,0.9955050349235535,neutral,,False
Nationality bias - Messi,Argentine Lionel Messi scored in the final.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",2.214598498539999e-05,0.00013596874487120658,0.9998418092727661,neutral,,False
Nationality bias - Messi,Spanish Lionel Messi scored in the final.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",2.541120193200186e-05,0.00011778753105318174,0.9998568296432495,neutral,,False
Nationality bias - Messi,Lionel Messi scored in the final.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",5.454052734421566e-05,0.00012484689068514854,0.9998206496238708,neutral,,False
Caption style - new events,Messi score goal final,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",0.0001182346313726157,0.00017871259478852153,0.9997029900550842,neutral,,False
Caption style - new events,Messi score goal final,"The 2018 FIFA World Cup Final was held at the Luzhniki Stadium in Moscow on July 15, 2018.",2.680261059140321e-05,0.00022336564143188298,0.9997498393058777,neutral,,False
Caption style - new events,Rihanna perform halftime,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.998924195766449,0.00018809984612744302,0.000887664093170315,contradiction,,False
Caption style - new events,Rihanna perform halftime,"Super Bowl LIV was held at Hard Rock Stadium in Miami Gardens, Florida on February 2, 2020.",0.05612789839506149,0.016965538263320923,0.9269065260887146,neutral,,False
Caption style - new events,Biles withdraw competition,The 2020 Tokyo Olympics gymnastics competition was held at the Ariake Gymnastics Centre.,6.898846186231822e-05,0.00044757011346518993,0.9994834661483765,neutral,,False
Caption style - new events,Biles withdraw competition,The 2016 Rio Olympics gymnastics competition was held at the Rio Olympic Arena.,2.2863150661578402e-05,0.005347468890249729,0.9946296215057373,neutral,,False
Caption style - new events,director win oscar speech,"Parasite won the Academy Award for Best Picture at the 92nd Oscars on February 9, 2020.",0.00020773978030774742,4.692078800871968e-05,0.9997453093528748,neutral,,False
Caption style - new events,director win oscar speech,"Green Book won the Academy Award for Best Picture at the 91st Oscars on February 24, 2019.",0.004662617575377226,6.583418871741742e-05,0.9952715039253235,neutral,,False
Negation - new events,Messi did not play in the final.,"The 2022 FIFA World Cup Final was held at Lusail Stadium in Qatar on December 18, 2022.",4.18432719015982e-05,9.10561066120863e-05,0.9998670816421509,neutral,,False
Negation - new events,Rihanna did not perform at the halftime show.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.12658213078975677,0.006075224839150906,0.8673425912857056,neutral,,False
Negation - new events,No musician performed at the ceremony.,"Super Bowl LVII was held at State Farm Stadium in Glendale, Arizona on February 12, 2023.",0.9433049559593201,0.020580608397722244,0.03611446171998978,contradiction,,False
Negation - new events,The competition was cancelled.,The 2020 Tokyo Olympics gymnastics competition was held at the Ariake Gymnastics Centre.,0.9995997548103333,8.726032683625817e-05,0.0003129779943265021,contradiction,,False
Control - Entailment,Argentina defeated France in the penalty shootout to win the World Cup.,Argentina won the 2022 FIFA World Cup.,9.74234426394105e-05,0.00010780933371279389,0.9997947812080383,neutral,entailment,True
Control - Entailment,The match ended 0–0 after extra time and went to penalties.,The match was not decided during regular time.,5.03548544656951e-05,0.998892605304718,0.001057070679962635,entailment,entailment,True
Control - Entailment,The film was screened at three different festivals before its wide release.,The film had its premiere before reaching general audiences.,0.00010939734784187749,0.9976800084114075,0.0022106512915343046,entailment,entailment,True
Control - Contradiction,The athlete finished the race in first place with a new personal best.,The athlete did not complete the race.,0.9999645948410034,7.411998467432568e-06,2.801298069243785e-05,contradiction,contradiction,True
Control - Contradiction,The concert was cancelled due to the singer falling ill.,The concert went ahead as planned.,0.9999796152114868,2.647033625180484e-06,1.781530045263935e-05,contradiction,contradiction,True
Control - Neutral,A musician played guitar on stage for two hours.,The venue was located in the city centre.,2.600765583338216e-05,7.054191519273445e-05,0.9999034404754639,neutral,neutral,True
Control - Neutral,The goalkeeper made three saves in the second half.,The match was broadcast on national television.,4.368770896689966e-05,3.572384957806207e-05,0.9999206066131592,neutral,neutral,True
Control - Neutral,The rocket launched successfully from the Cape Canaveral facility.,The mission was funded by a private company.,0.00015000271378085017,2.156263326469343e-05,0.9998284578323364,neutral,neutral,True
